gRNA	gene	list	value
m54303927	TMEM48	list	116
p54298198	TMEM48	list	193
p54298228	TMEM48	list	62
p54301168	TMEM48	list	161
p54301218	TMEM48	list	76
p54303913	TMEM48	list	118
m64173783	TMEM5	list	50
m64173793	TMEM5	list	77
m64173801	TMEM5	list	8
m64173817	TMEM5	list	134
p64173732	TMEM5	list	121
p64173738	TMEM5	list	60
p64173806	TMEM5	list	136
p64173820	TMEM5	list	188
p64174804	TMEM5	list	83
p64174813	TMEM5	list	42
m25667053	TMEM50A	list	16
m25669499	TMEM50A	list	122
m25669528	TMEM50A	list	12
m25669533	TMEM50A	list	41
m25669551	TMEM50A	list	80
m25669557	TMEM50A	list	60
p25667002	TMEM50A	list	177
p25667040	TMEM50A	list	95
p25669514	TMEM50A	list	104
p25678114	TMEM50A	list	161
m34828075	TMEM50B	list	44
m34832750	TMEM50B	list	78
m34832801	TMEM50B	list	69
m34839392	TMEM50B	list	175
m34841095	TMEM50B	list	196
m34841103	TMEM50B	list	51
m34841119	TMEM50B	list	14
m34841141	TMEM50B	list	22
p34839312	TMEM50B	list	14
p34839361	TMEM50B	list	99
m15541593	TMEM51	list	192
m15541599	TMEM51	list	90
m15541605	TMEM51	list	178
m15541681	TMEM51	list	54
m15541688	TMEM51	list	162
p15541579	TMEM51	list	195
p15541613	TMEM51	list	184
p15541618	TMEM51	list	58
p15541660	TMEM51	list	185
p15541667	TMEM51	list	179
m1849856	TMEM52	list	80
m1850334	TMEM52	list	172
m1850507	TMEM52	list	170
m1850619	TMEM52	list	34
m1850697	TMEM52	list	32
p1850336	TMEM52	list	70
p1850341	TMEM52	list	164
p1850609	TMEM52	list	171
p1850631	TMEM52	list	4
p1850658	TMEM52	list	30
m10332204	TMEM52B	list	96
m10332210	TMEM52B	list	163
m10337934	TMEM52B	list	68
m10337939	TMEM52B	list	170
m10339051	TMEM52B	list	161
p10332175	TMEM52B	list	69
p10337924	TMEM52B	list	155
p10337945	TMEM52B	list	75
p10339013	TMEM52B	list	169
p10339034	TMEM52B	list	129
m45140012	TMEM53	list	42
m45140026	TMEM53	list	139
m45140056	TMEM53	list	79
p45125931	TMEM53	list	137
p45125936	TMEM53	list	66
p45139994	TMEM53	list	131
p45140004	TMEM53	list	180
p45140015	TMEM53	list	33
p45140036	TMEM53	list	127
p45140042	TMEM53	list	46
m33363820	TMEM54	list	174
m33363863	TMEM54	list	8
m33363872	TMEM54	list	80
m33363877	TMEM54	list	65
m33363893	TMEM54	list	194
m33363907	TMEM54	list	150
m33366825	TMEM54	list	129
p33363806	TMEM54	list	102
p33363830	TMEM54	list	163
p33363851	TMEM54	list	67
m92052924	TMEM55A	list	117
m92052965	TMEM55A	list	47
p92033574	TMEM55A	list	78
p92033579	TMEM55A	list	62
p92033585	TMEM55A	list	106
p92033595	TMEM55A	list	85
p92033601	TMEM55A	list	71
p92052876	TMEM55A	list	117
p92052902	TMEM55A	list	136
p92052907	TMEM55A	list	113
m20928963	TMEM55B	list	82
m20929410	TMEM55B	list	71
m20929419	TMEM55B	list	52
m20929429	TMEM55B	list	149
m20929434	TMEM55B	list	101
m20929473	TMEM55B	list	1
p20929332	TMEM55B	list	175
p20929340	TMEM55B	list	120
p20929437	TMEM55B	list	129
p20929463	TMEM55B	list	46
m95609565	TMEM56	list	96
m95614268	TMEM56	list	65
m95614275	TMEM56	list	145
m95614342	TMEM56	list	82
m95615814	TMEM56	list	184
m95616952	TMEM56	list	44
m95616968	TMEM56	list	200
p95614260	TMEM56	list	136
p95615785	TMEM56	list	172
p95615800	TMEM56	list	97
m25757608	TMEM57	list	12
m25757632	TMEM57	list	54
m25757645	TMEM57	list	59
m25773276	TMEM57	list	39
m25773315	TMEM57	list	81
p25757578	TMEM57	list	55
p25757634	TMEM57	list	136
p25757647	TMEM57	list	35
p25773258	TMEM57	list	167
p25773264	TMEM57	list	194
m54518713	TMEM59	list	179
m54518728	TMEM59	list	85
m54518736	TMEM59	list	159
m54518743	TMEM59	list	131
m54518772	TMEM59	list	194
m54518778	TMEM59	list	138
m54518785	TMEM59	list	124
m54518820	TMEM59	list	129
m54518847	TMEM59	list	33
p54518787	TMEM59	list	53
m18723769	TMEM59L	list	158
m18723846	TMEM59L	list	18
m18723914	TMEM59L	list	143
m18723926	TMEM59L	list	161
m18723933	TMEM59L	list	91
m18724700	TMEM59L	list	23
m18724711	TMEM59L	list	55
p18723755	TMEM59L	list	95
p18723880	TMEM59L	list	99
p18723900	TMEM59L	list	57
m77423588	TMEM60	list	172
m77423594	TMEM60	list	17
m77423611	TMEM60	list	90
m77423623	TMEM60	list	54
m77423654	TMEM60	list	195
m77423677	TMEM60	list	199
p77423547	TMEM60	list	58
p77423560	TMEM60	list	158
p77423574	TMEM60	list	40
p77423657	TMEM60	list	171
m55451768	TMEM61	list	87
m55451786	TMEM61	list	156
m55451794	TMEM61	list	130
m55451800	TMEM61	list	100
p55451757	TMEM61	list	104
p55451802	TMEM61	list	163
p55451810	TMEM61	list	195
p55451816	TMEM61	list	150
p55451823	TMEM61	list	138
p55451842	TMEM61	list	107
m43426046	TMEM62	list	148
m43426123	TMEM62	list	44
m43426137	TMEM62	list	116
m43426144	TMEM62	list	105
p43425993	TMEM62	list	5
p43426001	TMEM62	list	123
p43426011	TMEM62	list	161
p43426035	TMEM62	list	142
p43426057	TMEM62	list	161
p43426062	TMEM62	list	189
m226065177	TMEM63A	list	170
m226065211	TMEM63A	list	178
m226065218	TMEM63A	list	3
m226065243	TMEM63A	list	101
p226065099	TMEM63A	list	104
p226065106	TMEM63A	list	90
p226065169	TMEM63A	list	159
p226065179	TMEM63A	list	69
p226065223	TMEM63A	list	157
p226065245	TMEM63A	list	88
m44102322	TMEM63B	list	116
m44102343	TMEM63B	list	139
m44102355	TMEM63B	list	159
m44102378	TMEM63B	list	196
m44102400	TMEM63B	list	120
m44102447	TMEM63B	list	23
p44102326	TMEM63B	list	155
p44102402	TMEM63B	list	26
p44102414	TMEM63B	list	141
p44102760	TMEM63B	list	40
m77685166	TMEM63C	list	107
m77685227	TMEM63C	list	192
m77685273	TMEM63C	list	71
m77685298	TMEM63C	list	146
m77685848	TMEM63C	list	178
m77685862	TMEM63C	list	6
p77685191	TMEM63C	list	7
p77685211	TMEM63C	list	161
p77685280	TMEM63C	list	142
p77685830	TMEM63C	list	151
m91657898	TMEM64	list	105
m91658068	TMEM64	list	50
m91658118	TMEM64	list	58
m91658123	TMEM64	list	110
p91657884	TMEM64	list	108
p91657908	TMEM64	list	138
p91657919	TMEM64	list	70
p91658052	TMEM64	list	79
p91658072	TMEM64	list	50
p91658101	TMEM64	list	132
m125384292	TMEM65	list	169
m125384345	TMEM65	list	161
m125384368	TMEM65	list	74
m125384392	TMEM65	list	78
p125384225	TMEM65	list	67
p125384294	TMEM65	list	7
p125384299	TMEM65	list	72
p125384360	TMEM65	list	42
p125384370	TMEM65	list	23
p125384377	TMEM65	list	105
m29931502	TMEM66	list	30
m29931556	TMEM66	list	135
m29940391	TMEM66	list	116
m29940445	TMEM66	list	195
m29940450	TMEM66	list	71
p29931511	TMEM66	list	35
p29940359	TMEM66	list	70
p29940364	TMEM66	list	27
p29940414	TMEM66	list	30
p29940424	TMEM66	list	115
m94777642	TMEM67	list	19
m94777652	TMEM67	list	96
m94777668	TMEM67	list	53
m94777677	TMEM67	list	1
m94777838	TMEM67	list	81
p94776065	TMEM67	list	196
p94776104	TMEM67	list	137
p94776140	TMEM67	list	189
p94776147	TMEM67	list	28
p94777805	TMEM67	list	139
m56668957	TMEM68	list	70
m56675195	TMEM68	list	15
m56675200	TMEM68	list	12
m56675216	TMEM68	list	5
m56675415	TMEM68	list	5
m56675427	TMEM68	list	151
m56675432	TMEM68	list	66
m56675437	TMEM68	list	77
m56675484	TMEM68	list	147
p56675476	TMEM68	list	120
m46158964	TMEM69	list	40
m46158987	TMEM69	list	64
m46158998	TMEM69	list	95
m46159077	TMEM69	list	92
m46159082	TMEM69	list	3
m46159121	TMEM69	list	165
m46159155	TMEM69	list	88
p46159231	TMEM69	list	160
p46159236	TMEM69	list	97
p46159245	TMEM69	list	52
m74888542	TMEM70	list	18
m74888561	TMEM70	list	125
m74888614	TMEM70	list	104
p74888506	TMEM70	list	36
p74888512	TMEM70	list	170
p74888523	TMEM70	list	156
p74888546	TMEM70	list	46
p74888553	TMEM70	list	107
p74888569	TMEM70	list	65
p74888624	TMEM70	list	133
m133764226	TMEM71	list	4
m133769512	TMEM71	list	38
m133769528	TMEM71	list	143
p133764128	TMEM71	list	85
p133764136	TMEM71	list	154
p133764143	TMEM71	list	126
p133764151	TMEM71	list	19
p133764163	TMEM71	list	189
p133764215	TMEM71	list	79
p133771072	TMEM71	list	57
m45406971	TMEM72	list	131
m45407000	TMEM72	list	67
m45407010	TMEM72	list	79
m45407021	TMEM72	list	111
p45406950	TMEM72	list	164
p45406958	TMEM72	list	27
p45406963	TMEM72	list	192
p45406982	TMEM72	list	55
p45406989	TMEM72	list	103
p45423361	TMEM72	list	121
m109797239	TMEM74	list	197
m109797247	TMEM74	list	194
m109797255	TMEM74	list	20
m109797272	TMEM74	list	67
m109797293	TMEM74	list	159
p109797201	TMEM74	list	10
p109797218	TMEM74	list	111
p109797226	TMEM74	list	23
p109797263	TMEM74	list	129
p109797296	TMEM74	list	195
m1162035	TMEM74B	list	24
m1162063	TMEM74B	list	195
m1164431	TMEM74B	list	78
p1162027	TMEM74B	list	94
p1162046	TMEM74B	list	42
p1162055	TMEM74B	list	173
p1162076	TMEM74B	list	167
p1162081	TMEM74B	list	163
p1162155	TMEM74B	list	31
p1162178	TMEM74B	list	51
m156255036	TMEM79	list	34
m156255042	TMEM79	list	63
m156255087	TMEM79	list	159
m156255093	TMEM79	list	74
m156255142	TMEM79	list	172
p156255016	TMEM79	list	159
p156255025	TMEM79	list	179
p156255098	TMEM79	list	176
p156255175	TMEM79	list	96
p156255228	TMEM79	list	45
m695616	TMEM80	list	63
m695632	TMEM80	list	119
m695646	TMEM80	list	186
m695656	TMEM80	list	137
m695666	TMEM80	list	125
p695602	TMEM80	list	111
p695638	TMEM80	list	72
p695648	TMEM80	list	124
p695658	TMEM80	list	38
p695670	TMEM80	list	44
m205053254	TMEM81	list	162
m205053273	TMEM81	list	70
m205053284	TMEM81	list	166
m205053290	TMEM81	list	179
m205053332	TMEM81	list	162
m205053387	TMEM81	list	192
p205053264	TMEM81	list	143
p205053337	TMEM81	list	117
p205053368	TMEM81	list	66
p205053379	TMEM81	list	137
m16069122	TMEM82	list	157
m16069133	TMEM82	list	92
m16069344	TMEM82	list	29
m16069360	TMEM82	list	171
m16069369	TMEM82	list	150
m16069555	TMEM82	list	188
m16069564	TMEM82	list	57
m16069583	TMEM82	list	127
p16069537	TMEM82	list	115
p16069567	TMEM82	list	162
m18720444	TMEM86A	list	111
m18722478	TMEM86A	list	73
m18722497	TMEM86A	list	72
m18722509	TMEM86A	list	91
m18722562	TMEM86A	list	109
m18722579	TMEM86A	list	41
p18722470	TMEM86A	list	3
p18722481	TMEM86A	list	175
p18722546	TMEM86A	list	132
p18722588	TMEM86A	list	64
m55739732	TMEM86B	list	83
m55739742	TMEM86B	list	115
m55739787	TMEM86B	list	61
m55740060	TMEM86B	list	108
m55740092	TMEM86B	list	139
m55740101	TMEM86B	list	111
p55739723	TMEM86B	list	186
p55739747	TMEM86B	list	38
p55739754	TMEM86B	list	77
p55739779	TMEM86B	list	103
m42565454	TMEM87A	list	106
m42565473	TMEM87A	list	131
m42565482	TMEM87A	list	89
m42565574	TMEM87A	list	87
m42565581	TMEM87A	list	183
m42565589	TMEM87A	list	123
p42564269	TMEM87A	list	34
p42565441	TMEM87A	list	106
p42565460	TMEM87A	list	50
p42565543	TMEM87A	list	197
m112813185	TMEM87B	list	48
m112813212	TMEM87B	list	93
m112813218	TMEM87B	list	36
m112813239	TMEM87B	list	46
m112813300	TMEM87B	list	60
p112813167	TMEM87B	list	36
p112813174	TMEM87B	list	174
p112813250	TMEM87B	list	37
p112813285	TMEM87B	list	183
p112813292	TMEM87B	list	59
m7758456	TMEM88	list	96
m7758471	TMEM88	list	177
m7758492	TMEM88	list	23
m7758549	TMEM88	list	148
p7758413	TMEM88	list	126
p7758481	TMEM88	list	49
p7758508	TMEM88	list	44
p7758514	TMEM88	list	89
p7758521	TMEM88	list	61
p7758553	TMEM88	list	168
m1361562	TMEM88B	list	100
m1361591	TMEM88B	list	181
m1361599	TMEM88B	list	3
m1361613	TMEM88B	list	135
m1361656	TMEM88B	list	83
m1361674	TMEM88B	list	20
m1361683	TMEM88B	list	167
p1361497	TMEM88B	list	48
p1361603	TMEM88B	list	27
p1361689	TMEM88B	list	91
m427774	TMEM8A	list	159
m427789	TMEM8A	list	15
m427818	TMEM8A	list	50
m431740	TMEM8A	list	121
m431815	TMEM8A	list	104
p427777	TMEM8A	list	52
p427791	TMEM8A	list	131
p431698	TMEM8A	list	33
p431704	TMEM8A	list	179
p431711	TMEM8A	list	40
m35842448	TMEM8B	list	54
m35842454	TMEM8B	list	144
m35842476	TMEM8B	list	92
m35842527	TMEM8B	list	93
m35842532	TMEM8B	list	42
m35842546	TMEM8B	list	123
m35842580	TMEM8B	list	175
m35842590	TMEM8B	list	112
p35842551	TMEM8B	list	124
p35842596	TMEM8B	list	91
m136389833	TMEM8C	list	142
m136389863	TMEM8C	list	39
m136389869	TMEM8C	list	53
m136389882	TMEM8C	list	170
p136389824	TMEM8C	list	47
p136389843	TMEM8C	list	79
p136389854	TMEM8C	list	111
p136389885	TMEM8C	list	51
p136389912	TMEM8C	list	1
p136389917	TMEM8C	list	89
m201120895	TMEM9	list	85
m201123011	TMEM9	list	162
m201123021	TMEM9	list	109
m201123026	TMEM9	list	199
m201123032	TMEM9	list	188
p201120921	TMEM9	list	34
p201120943	TMEM9	list	155
p201120961	TMEM9	list	183
p201122970	TMEM9	list	39
p201122980	TMEM9	list	21
m41884215	TMEM91	list	83
m41884225	TMEM91	list	150
m41884250	TMEM91	list	29
m41884279	TMEM91	list	103
m41884284	TMEM91	list	81
m41884316	TMEM91	list	173
m41884363	TMEM91	list	99
p41884234	TMEM91	list	106
p41884286	TMEM91	list	135
p41884326	TMEM91	list	85
m48351883	TMEM92	list	12
m48351888	TMEM92	list	39
m48351895	TMEM92	list	3
m48355085	TMEM92	list	53
m48355986	TMEM92	list	147
m48356160	TMEM92	list	101
m48356215	TMEM92	list	147
p48351854	TMEM92	list	120
p48355069	TMEM92	list	56
p48355959	TMEM92	list	112
m7258522	TMEM95	list	48
m7258555	TMEM95	list	66
m7258563	TMEM95	list	126
m7258588	TMEM95	list	132
m7258596	TMEM95	list	144
p7258513	TMEM95	list	177
p7258524	TMEM95	list	29
p7258599	TMEM95	list	107
p7258615	TMEM95	list	10
p7258623	TMEM95	list	134
m26646334	TMEM97	list	116
m26646370	TMEM97	list	64
m26652539	TMEM97	list	20
m26652590	TMEM97	list	14
p26646273	TMEM97	list	30
p26646278	TMEM97	list	72
p26646285	TMEM97	list	174
p26646336	TMEM97	list	70
p26652526	TMEM97	list	129
p26652560	TMEM97	list	21
m31258644	TMEM98	list	103
m31260190	TMEM98	list	87
m31260195	TMEM98	list	27
m31260206	TMEM98	list	107
m31260217	TMEM98	list	144
m31260226	TMEM98	list	22
p31258536	TMEM98	list	176
p31258552	TMEM98	list	63
p31258622	TMEM98	list	16
p31260197	TMEM98	list	22
m38990785	TMEM99	list	124
m38990810	TMEM99	list	191
m38990826	TMEM99	list	16
m38990838	TMEM99	list	132
m38990849	TMEM99	list	127
p38990753	TMEM99	list	31
p38990777	TMEM99	list	102
p38990864	TMEM99	list	185
p38990873	TMEM99	list	116
p38990880	TMEM99	list	85
m8977828	TMEM9B	list	154
m8983640	TMEM9B	list	71
m8985757	TMEM9B	list	87
m8985781	TMEM9B	list	122
m8985802	TMEM9B	list	14
m8985847	TMEM9B	list	30
p8977816	TMEM9B	list	181
p8985740	TMEM9B	list	126
p8985790	TMEM9B	list	7
p8985817	TMEM9B	list	19
m69101125	TMF1	list	194
m69101140	TMF1	list	138
m69101146	TMF1	list	158
m69101155	TMF1	list	179
m69101161	TMF1	list	117
m69101182	TMF1	list	118
m69101194	TMF1	list	132
p69101112	TMF1	list	184
p69101167	TMF1	list	178
p69101186	TMF1	list	15
m100286502	TMOD1	list	193
m100286508	TMOD1	list	39
m100286534	TMOD1	list	64
m100308489	TMOD1	list	63
p100286487	TMOD1	list	175
p100286520	TMOD1	list	140
p100308463	TMOD1	list	35
p100308477	TMOD1	list	29
p100308492	TMOD1	list	75
p100308501	TMOD1	list	68
m98909761	TMPO	list	53
m98909770	TMPO	list	13
m98909833	TMPO	list	28
m98909844	TMPO	list	62
p98909707	TMPO	list	134
p98909712	TMPO	list	138
p98909772	TMPO	list	83
p98909804	TMPO	list	198
p98909897	TMPO	list	45
p98909902	TMPO	list	173
m68812188	TMPRSS11A	list	49
m68812196	TMPRSS11A	list	14
m68812209	TMPRSS11A	list	144
m68812249	TMPRSS11A	list	39
m68812277	TMPRSS11A	list	45
m68829102	TMPRSS11A	list	144
p68812177	TMPRSS11A	list	169
p68812198	TMPRSS11A	list	24
p68812216	TMPRSS11A	list	22
p68812229	TMPRSS11A	list	8
m150779542	TMUB1	list	196
m150779547	TMUB1	list	135
m150779568	TMUB1	list	137
m150779580	TMUB1	list	37
m150779586	TMUB1	list	146
m150779635	TMUB1	list	49
p150779483	TMUB1	list	122
p150779489	TMUB1	list	76
p150779553	TMUB1	list	185
p150779572	TMUB1	list	81
m26666563	TNFAIP1	list	177
m26666639	TNFAIP1	list	19
m26666671	TNFAIP1	list	73
m26666683	TNFAIP1	list	83
p26666532	TNFAIP1	list	109
p26666588	TNFAIP1	list	97
p26666595	TNFAIP1	list	19
p26666600	TNFAIP1	list	138
p26666627	TNFAIP1	list	122
p26666656	TNFAIP1	list	184
m138192381	TNFAIP3	list	108
m138192460	TNFAIP3	list	196
m138192498	TNFAIP3	list	119
m138192538	TNFAIP3	list	186
m138192558	TNFAIP3	list	5
m138192566	TNFAIP3	list	162
p138192366	TNFAIP3	list	140
p138192389	TNFAIP3	list	21
p138192407	TNFAIP3	list	140
p138192486	TNFAIP3	list	196
m6443000	TNFRSF1A	list	93
m6443006	TNFRSF1A	list	50
m6443258	TNFRSF1A	list	143
m6443347	TNFRSF1A	list	111
m6443390	TNFRSF1A	list	7
p6443382	TNFRSF1A	list	181
p6450934	TNFRSF1A	list	91
p6450939	TNFRSF1A	list	29
p6450944	TNFRSF1A	list	193
p6450952	TNFRSF1A	list	84
m12227148	TNFRSF1B	list	181
m12227157	TNFRSF1B	list	52
m12227164	TNFRSF1B	list	136
m12227215	TNFRSF1B	list	113
m12227220	TNFRSF1B	list	185
m12248851	TNFRSF1B	list	96
m12248875	TNFRSF1B	list	90
m12248882	TNFRSF1B	list	71
p12227176	TNFRSF1B	list	151
p12227183	TNFRSF1B	list	45
m7462418	TNFSF13	list	131
m7462431	TNFSF13	list	64
m7462480	TNFSF13	list	52
m7462492	TNFSF13	list	97
m7462507	TNFSF13	list	23
p7462438	TNFSF13	list	143
p7462510	TNFSF13	list	127
p7462517	TNFSF13	list	140
p7462525	TNFSF13	list	153
p7462532	TNFSF13	list	43
m170945956	TNIK	list	79
m170945967	TNIK	list	23
m171087410	TNIK	list	177
m171087423	TNIK	list	163
m171087433	TNIK	list	179
m171087439	TNIK	list	61
m171087449	TNIK	list	195
m171177797	TNIK	list	178
p171177803	TNIK	list	128
p171177814	TNIK	list	34
m150443242	TNIP1	list	89
m150443260	TNIP1	list	76
m150443267	TNIP1	list	82
m150443273	TNIP1	list	97
p150441754	TNIP1	list	63
p150443167	TNIP1	list	43
p150443190	TNIP1	list	125
p150443199	TNIP1	list	5
p150443245	TNIP1	list	145
p150443252	TNIP1	list	23
m2749509	TNIP2	list	150
m2749552	TNIP2	list	170
m2749567	TNIP2	list	181
p2749489	TNIP2	list	99
p2749494	TNIP2	list	56
p2749500	TNIP2	list	109
p2749513	TNIP2	list	89
p2749518	TNIP2	list	167
p2749554	TNIP2	list	58
p2749581	TNIP2	list	94
m7286267	TNK1	list	73
m7286289	TNK1	list	48
m7286320	TNK1	list	120
m7286325	TNK1	list	166
m7286350	TNK1	list	178
p7286235	TNK1	list	88
p7286249	TNK1	list	1
p7286280	TNK1	list	31
p7286355	TNK1	list	53
p7286361	TNK1	list	182
m195615387	TNK2	list	29
m195615413	TNK2	list	1
m195615428	TNK2	list	12
m195615439	TNK2	list	115
m195615445	TNK2	list	147
p195615350	TNK2	list	85
p195615359	TNK2	list	50
p195615368	TNK2	list	40
p195615393	TNK2	list	161
p195615430	TNK2	list	14
m9413484	TNKS	list	60
m9413550	TNKS	list	45
m9413583	TNKS	list	27
m9413588	TNKS	list	74
m9413625	TNKS	list	185
m9413691	TNKS	list	92
m9413697	TNKS	list	135
m9413711	TNKS	list	153
p9413628	TNKS	list	81
p9413657	TNKS	list	159
m57088102	TNKS1BP1	list	131
m57089279	TNKS1BP1	list	118
m57089325	TNKS1BP1	list	7
m57089340	TNKS1BP1	list	160
p57088107	TNKS1BP1	list	170
p57088112	TNKS1BP1	list	67
p57088120	TNKS1BP1	list	25
p57088126	TNKS1BP1	list	74
p57089261	TNKS1BP1	list	11
p57089286	TNKS1BP1	list	91
m93558508	TNKS2	list	112
m93558516	TNKS2	list	56
m93558523	TNKS2	list	111
m93558585	TNKS2	list	102
p93558432	TNKS2	list	53
p93558447	TNKS2	list	163
p93558528	TNKS2	list	63
p93558550	TNKS2	list	13
p93558569	TNKS2	list	24
p93558587	TNKS2	list	40
m1861648	TNNI2	list	73
p1861621	TNNI2	list	197
p1861631	TNNI2	list	19
p1861639	TNNI2	list	147
p1861652	TNNI2	list	185
p1861756	TNNI2	list	145
p1861762	TNNI2	list	179
p1861768	TNNI2	list	59
p1861774	TNNI2	list	4
p1861792	TNNI2	list	156
m74701163	TNNI3K	list	78
m74715156	TNNI3K	list	188
m74716398	TNNI3K	list	76
m74716433	TNNI3K	list	43
p74701153	TNNI3K	list	180
p74701770	TNNI3K	list	102
p74701837	TNNI3K	list	195
p74701871	TNNI3K	list	147
p74715203	TNNI3K	list	48
p74716369	TNNI3K	list	193
p11363002	TNP2	list	88
p11363007	TNP2	list	5
p11363013	TNP2	list	96
p11363023	TNP2	list	134
p11363028	TNP2	list	94
p11363034	TNP2	list	163
p11363064	TNP2	list	112
p11363072	TNP2	list	186
p11363088	TNP2	list	160
p11363099	TNP2	list	104
m72144241	TNPO1	list	126
m72144267	TNPO1	list	1
m72144309	TNPO1	list	101
m72144317	TNPO1	list	12
m72147097	TNPO1	list	145
m72151670	TNPO1	list	193
p72144212	TNPO1	list	1
p72144229	TNPO1	list	3
p72144258	TNPO1	list	64
p72151602	TNPO1	list	39
m12831757	TNPO2	list	105
m12831768	TNPO2	list	7
m12831785	TNPO2	list	25
p12830074	TNPO2	list	110
p12830103	TNPO2	list	158
p12831692	TNPO2	list	168
p12831701	TNPO2	list	99
p12831730	TNPO2	list	36
p12831742	TNPO2	list	171
p12831770	TNPO2	list	53
m128658168	TNPO3	list	38
m128658201	TNPO3	list	42
m128694778	TNPO3	list	18
m128694787	TNPO3	list	8
m128694819	TNPO3	list	132
p128694731	TNPO3	list	104
p128694738	TNPO3	list	151
p128694745	TNPO3	list	65
p128694766	TNPO3	list	15
p128694803	TNPO3	list	95
m41833125	TOB2	list	132
m41833130	TOB2	list	180
m41833169	TOB2	list	41
m41833191	TOB2	list	123
m41833197	TOB2	list	164
m41833265	TOB2	list	180
m41833330	TOB2	list	11
p41833182	TOB2	list	57
p41833201	TOB2	list	163
p41833286	TOB2	list	143
m45805934	TOE1	list	4
m45805963	TOE1	list	81
m45806790	TOE1	list	60
m45806797	TOE1	list	173
m45806839	TOE1	list	44
p45805924	TOE1	list	93
p45805954	TOE1	list	110
p45806781	TOE1	list	56
p45806805	TOE1	list	73
p45806813	TOE1	list	19
m1316945	TOLLIP	list	110
m1316954	TOLLIP	list	116
m1316967	TOLLIP	list	172
m1317002	TOLLIP	list	57
m1330697	TOLLIP	list	169
m1330702	TOLLIP	list	6
p1316958	TOLLIP	list	48
p1316969	TOLLIP	list	151
p1316983	TOLLIP	list	1
p1330707	TOLLIP	list	18
m145669585	TONSL	list	12
m145669617	TONSL	list	32
m145669623	TONSL	list	10
m145669628	TONSL	list	16
m145669637	TONSL	list	38
m145669649	TONSL	list	34
m145669790	TONSL	list	81
p145669553	TONSL	list	42
p145669602	TONSL	list	102
p145669769	TONSL	list	87
m39657727	TOP1	list	50
m39658069	TOP1	list	18
m39658087	TOP1	list	149
m39690076	TOP1	list	77
p39657692	TOP1	list	33
p39657718	TOP1	list	118
p39658073	TOP1	list	179
p39690054	TOP1	list	106
p39690079	TOP1	list	76
p39690084	TOP1	list	61
m144408421	TOP1MT	list	23
m144408438	TOP1MT	list	40
m144408459	TOP1MT	list	80
m144408477	TOP1MT	list	122
m144408495	TOP1MT	list	180
m144411521	TOP1MT	list	172
m144411528	TOP1MT	list	146
m144411557	TOP1MT	list	101
p144408406	TOP1MT	list	6
p144408429	TOP1MT	list	106
m38572296	TOP2A	list	57
m38572724	TOP2A	list	143
m38572738	TOP2A	list	58
m38572757	TOP2A	list	99
m38572993	TOP2A	list	86
m38573008	TOP2A	list	22
m38574024	TOP2A	list	149
p38573000	TOP2A	list	143
p38573011	TOP2A	list	42
p38574008	TOP2A	list	123
m25685232	TOP2B	list	65
m25685249	TOP2B	list	61
m25686792	TOP2B	list	101
m25686807	TOP2B	list	73
m25686814	TOP2B	list	79
m25705762	TOP2B	list	162
m25705768	TOP2B	list	136
m25705774	TOP2B	list	95
p25686779	TOP2B	list	178
p25705704	TOP2B	list	145
m18217928	TOP3A	list	186
m18217977	TOP3A	list	197
m18217993	TOP3A	list	156
m18218050	TOP3A	list	145
m18218062	TOP3A	list	41
p18217980	TOP3A	list	165
p18217996	TOP3A	list	165
p18218004	TOP3A	list	134
p18218040	TOP3A	list	1
p18218052	TOP3A	list	4
m22328740	TOP3B	list	81
m22328757	TOP3B	list	187
m22328793	TOP3B	list	21
m22328804	TOP3B	list	186
m22328831	TOP3B	list	19
m22328841	TOP3B	list	114
p22328763	TOP3B	list	142
p22328777	TOP3B	list	177
p22328833	TOP3B	list	79
p22330024	TOP3B	list	13
m133375669	TOPBP1	list	4
m133376694	TOPBP1	list	111
m133376768	TOPBP1	list	100
m133377942	TOPBP1	list	47
p133376653	TOPBP1	list	134
p133376684	TOPBP1	list	143
p133376699	TOPBP1	list	35
p133376712	TOPBP1	list	30
p133377957	TOPBP1	list	101
p133379944	TOPBP1	list	31
m32544033	TOPORS	list	7
m32544047	TOPORS	list	79
m32544305	TOPORS	list	96
p32543980	TOPORS	list	136
p32544014	TOPORS	list	32
p32544053	TOPORS	list	5
p32544085	TOPORS	list	37
p32544190	TOPORS	list	88
p32544205	TOPORS	list	191
p32544256	TOPORS	list	156
m132586282	TOR1A	list	79
m132586287	TOR1A	list	31
m132586303	TOR1A	list	141
m132586309	TOR1A	list	24
m132586315	TOR1A	list	22
m132586341	TOR1A	list	200
m132586351	TOR1A	list	107
m132586356	TOR1A	list	138
p132586295	TOR1A	list	103
p132586330	TOR1A	list	174
m179851766	TOR1AIP1	list	38
m179851798	TOR1AIP1	list	104
p179851622	TOR1AIP1	list	71
p179851628	TOR1AIP1	list	19
p179851635	TOR1AIP1	list	57
p179851655	TOR1AIP1	list	134
p179851660	TOR1AIP1	list	191
p179851771	TOR1AIP1	list	83
p179851776	TOR1AIP1	list	80
p179851788	TOR1AIP1	list	66
m179820392	TOR1AIP2	list	69
m179820450	TOR1AIP2	list	182
m179820456	TOR1AIP2	list	75
m179821768	TOR1AIP2	list	197
m179821781	TOR1AIP2	list	165
